model_name,family,point_type,pc1,pc2
meta-llama/Llama-2-7b-hf,llama,training,0.169297,-0.267942
meta-llama/Llama-2-13b-hf,llama,training,0.192378,-0.204115
meta-llama/Llama-2-70b-hf,llama,training,0.250070,-0.042940
meta-llama/Meta-Llama-3-8B,llama,training,0.315422,-0.003685
meta-llama/Meta-Llama-3-70B,llama,training,0.301450,0.290009
meta-llama/Meta-Llama-3-8B-Instruct,llama,training,-0.086317,-0.158452
meta-llama/Llama-3.1-8B,llama,training,0.331159,0.043048
meta-llama/Llama-3.1-70B,llama,training,0.284036,0.265201
meta-llama/Llama-3.1-8B-Instruct,llama,training,-0.127415,-0.085150
meta-llama/Llama-3.1-70B-Instruct,llama,training,-0.538046,0.091874
meta-llama/Llama-3.2-1B,llama,training,0.271581,-0.229838
meta-llama/Llama-3.2-3B,llama,training,0.313734,-0.091697
meta-llama/Llama-3.3-70B-Instruct,llama,training,-0.649249,0.188727
mistralai/Mistral-7B-Instruct-v0.3,mistral,training,-0.097292,-0.308340
mistralai/Mixtral-8x7B-v0.1,mistral,training,0.212888,0.041693
mistralai/Mixtral-8x7B-Instruct-v0.1,mistral,training,-0.131846,-0.205986
mistralai/Mixtral-8x22B-v0.1,mistral,training,0.163099,0.205218
mistralai/Mistral-Nemo-Base-2407,mistral,training,0.287821,0.025207
mistralai/Mistral-Small-24B-Base-2501,mistral,training,0.267669,0.357043
Qwen/Qwen2-7B,qwen,training,0.063187,0.119578
Qwen/Qwen2-72B,qwen,training,-0.010524,0.347397
Qwen/Qwen2-7B-Instruct,qwen,training,-0.245304,0.025667
Qwen/Qwen2-72B-Instruct,qwen,training,-0.490336,0.170138
Qwen/Qwen2.5-7B,qwen,training,0.021719,0.177092
Qwen/Qwen2.5-14B,qwen,training,0.007772,0.292954
Qwen/Qwen2.5-32B,qwen,training,-0.037465,0.382502
Qwen/Qwen2.5-72B,qwen,training,-0.079338,0.435416
Qwen/Qwen2.5-7B-Instruct,qwen,training,-0.595782,0.171896
Qwen/Qwen2.5-72B-Instruct,qwen,training,-0.680874,0.373774
Qwen/QwQ-32B,qwen,training,-0.087200,-0.299185
google/gemma-7b,gemma,training,0.171177,-0.114413
google/gemma-2-9b,gemma,training,0.235963,0.118935
google/gemma-2-27b,gemma,training,0.185422,0.157982
google/gemma-2-9b-it,gemma,training,-0.348926,-0.165650
google/gemma-2-27b-it,gemma,training,-0.412812,-0.088595
microsoft/phi-2,phi,training,0.188934,-0.164712
microsoft/Phi-3-mini-4k-instruct,phi,training,-0.148393,-0.083701
microsoft/Phi-3-medium-4k-instruct,phi,training,-0.238463,-0.028115
microsoft/Phi-3.5-mini-instruct,phi,training,-0.210022,-0.065686
microsoft/phi-4,phi,training,0.402024,0.566588
01-ai/Yi-1.5-9B,yi,training,0.145375,0.018382
01-ai/Yi-1.5-34B,yi,training,0.148468,0.148605
01-ai/Yi-1.5-34B-Chat,yi,training,-0.252114,0.054276
tiiuae/falcon-7b,falcon,training,0.237263,-0.290332
tiiuae/falcon-40b,falcon,training,0.217118,-0.197284
tiiuae/Falcon3-7B-Base,falcon,training,0.057908,0.051579
tiiuae/Falcon3-10B-Base,falcon,training,0.009813,0.163615
deepseek-ai/deepseek-llm-7b-base,deepseek,training,0.201485,-0.242699
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,qwen,training,-0.121902,-0.142926
deepseek-ai/DeepSeek-R1-Distill-Llama-70B,llama,training,-0.146699,0.207150
EleutherAI/gpt-j-6b,gpt-j,training,0.127879,-0.310825
EleutherAI/pythia-12b,pythia,training,0.137189,-0.309329
stabilityai/stablelm-2-12b,stablelm,training,0.335258,-0.039342
databricks/dbrx-base,dbrx,training,0.437970,0.129918
HuggingFaceH4/zephyr-7b-beta,zephyr,training,-0.058999,-0.324016
NousResearch/Hermes-3-Llama-3.1-8B,llama,training,-0.154260,-0.335667
allenai/OLMo-7B-hf,olmo,training,0.126028,-0.338414
allenai/Llama-3.1-Tulu-3-8B,llama,training,-0.491913,-0.346041
meta-llama/Meta-Llama-3-70B-Instruct,llama,target,-0.377067,-0.136390
